word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12
והמשמכ,0.555555555555556,0,0.4,1,0.6,1,0.0909090909090909,0.5,0.6,1,0.363636363636364,0.5
וכשכמה,0.555555555555556,0,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
ולכשבכ,0.555555555555556,0,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.3,1,0.363636363636364,0.5
ולכשכב,0.555555555555556,0,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.3,1
ולכשככ,0.555555555555556,0,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.363636363636364,0.5
ולכשכל,0.555555555555556,0,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.727272727272727,0.5
ולכשכמ,0.555555555555556,0,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1
ולכשלכ,0.555555555555556,0,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5
ולכשמה,0.555555555555556,0,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1,0.4,1
ולכשמכ,0.555555555555556,0,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1,0.363636363636364,0.5
ומשכמה,0.555555555555556,0,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
ושכשבכ,0.555555555555556,0,0.0909090909090909,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.3,1,0.363636363636364,0.5
ושכשכב,0.555555555555556,0,0.0909090909090909,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.3,1
ושכשככ,0.555555555555556,0,0.0909090909090909,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.363636363636364,0.5
ושכשכל,0.555555555555556,0,0.0909090909090909,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.727272727272727,0.5
ושכשכמ,0.555555555555556,0,0.0909090909090909,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1
ושכשלכ,0.555555555555556,0,0.0909090909090909,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5
ושכשמה,0.555555555555556,0,0.0909090909090909,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1,0.4,1
ושכשמכ,0.555555555555556,0,0.0909090909090909,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1,0.363636363636364,0.5
ושלכשב,0.555555555555556,0,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.3,1
ושלכשה,0.555555555555556,0,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.4,1
ושלכשכ,0.555555555555556,0,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5
ושלכשל,0.555555555555556,0,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.727272727272727,0.5
ושלכשמ,0.555555555555556,0,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1
ושמשבכ,0.555555555555556,0,0.0909090909090909,0.5,0.6,1,0.0909090909090909,0.5,0.3,1,0.363636363636364,0.5
ושמשכב,0.555555555555556,0,0.0909090909090909,0.5,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.3,1
ושמשככ,0.555555555555556,0,0.0909090909090909,0.5,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.363636363636364,0.5
ושמשכל,0.555555555555556,0,0.0909090909090909,0.5,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.727272727272727,0.5
ושמשכמ,0.555555555555556,0,0.0909090909090909,0.5,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1
ושמשלכ,0.555555555555556,0,0.0909090909090909,0.5,0.6,1,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5
ושמשמה,0.555555555555556,0,0.0909090909090909,0.5,0.6,1,0.0909090909090909,0.5,0.6,1,0.4,1
ושמשמכ,0.555555555555556,0,0.0909090909090909,0.5,0.6,1,0.0909090909090909,0.5,0.6,1,0.363636363636364,0.5
לכשכמה,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
שכשכמה,0.0909090909090909,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
שלכשבכ,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.3,1,0.363636363636364,0.5
שלכשכב,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.3,1
שלכשככ,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.363636363636364,0.5
שלכשכל,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.727272727272727,0.5
שלכשכמ,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1
שלכשלכ,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5
שלכשמה,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1,0.4,1
שלכשמכ,0.0909090909090909,0.5,0.727272727272727,0.5,0.363636363636364,0.5,0.0909090909090909,0.5,0.6,1,0.363636363636364,0.5
שמשכמה,0.0909090909090909,0.5,0.6,1,0.0909090909090909,0.5,0.363636363636364,0.5,0.6,1,0.4,1
