word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10
ולכשה,0.555555555555556,0,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.4,2
ולכשכ,0.555555555555556,0,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1
ולכשל,0.555555555555556,0,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.727272727272727,1
ולכשמ,0.555555555555556,0,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.6,2
ומשבכ,0.555555555555556,0,0.6,2,0.0909090909090909,1,0.3,2,0.363636363636364,1
ומשכב,0.555555555555556,0,0.6,2,0.0909090909090909,1,0.363636363636364,1,0.3,2
ומשככ,0.555555555555556,0,0.6,2,0.0909090909090909,1,0.363636363636364,1,0.363636363636364,1
ומשכל,0.555555555555556,0,0.6,2,0.0909090909090909,1,0.363636363636364,1,0.727272727272727,1
ומשכמ,0.555555555555556,0,0.6,2,0.0909090909090909,1,0.363636363636364,1,0.6,2
ומשלכ,0.555555555555556,0,0.6,2,0.0909090909090909,1,0.727272727272727,1,0.363636363636364,1
ומשמה,0.555555555555556,0,0.6,2,0.0909090909090909,1,0.6,2,0.4,2
ומשמכ,0.555555555555556,0,0.6,2,0.0909090909090909,1,0.6,2,0.363636363636364,1
ושכמה,0.555555555555556,0,0.0909090909090909,1,0.363636363636364,1,0.6,2,0.4,2
ושכשב,0.555555555555556,0,0.0909090909090909,1,0.363636363636364,1,0.0909090909090909,1,0.3,2
ושכשה,0.555555555555556,0,0.0909090909090909,1,0.363636363636364,1,0.0909090909090909,1,0.4,2
ושכשכ,0.555555555555556,0,0.0909090909090909,1,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1
ושכשל,0.555555555555556,0,0.0909090909090909,1,0.363636363636364,1,0.0909090909090909,1,0.727272727272727,1
ושכשמ,0.555555555555556,0,0.0909090909090909,1,0.363636363636364,1,0.0909090909090909,1,0.6,2
ושלכש,0.555555555555556,0,0.0909090909090909,1,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1
ושמשב,0.555555555555556,0,0.0909090909090909,1,0.6,2,0.0909090909090909,1,0.3,2
ושמשה,0.555555555555556,0,0.0909090909090909,1,0.6,2,0.0909090909090909,1,0.4,2
ושמשכ,0.555555555555556,0,0.0909090909090909,1,0.6,2,0.0909090909090909,1,0.363636363636364,1
ושמשל,0.555555555555556,0,0.0909090909090909,1,0.6,2,0.0909090909090909,1,0.727272727272727,1
ושמשמ,0.555555555555556,0,0.0909090909090909,1,0.6,2,0.0909090909090909,1,0.6,2
כשכמה,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.6,2,0.4,2
לכשבכ,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.3,2,0.363636363636364,1
לכשכב,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.3,2
לכשככ,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.363636363636364,1
לכשכל,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.727272727272727,1
לכשכמ,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.363636363636364,1,0.6,2
לכשלכ,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.727272727272727,1,0.363636363636364,1
לכשמה,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.6,2,0.4,2
לכשמכ,0.727272727272727,1,0.363636363636364,1,0.0909090909090909,1,0.6,2,0.363636363636364,1
