word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16,mat_17,mat_18,mat_19,mat_20,mat_21,mat_22,mat_23,mat_24,mat_25,mat_26,mat_27,mat_28
אסטרונאוטיותיי,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.5,1,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.545454545454545,0.5
אסטרונאוטיותיך,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.5,1,0.333333333333333,0,0.555555555555556,0,0.444444444444444,0,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.818181818181818,0.5
אסטרונומיותיהם,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.5,1,0.555555555555556,0,0.6,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.4,1,0.777777777777778,0
אסטרונומיותיהן,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.5,1,0.555555555555556,0,0.6,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.4,1,0.666666666666667,0
אסטרונומיותייך,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.5,1,0.555555555555556,0,0.6,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.545454545454545,0.5,0.818181818181818,0.5
אסטרונומיותיכם,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.5,1,0.555555555555556,0,0.6,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.363636363636364,0.5,0.777777777777778,0
אסטרונומיותיכן,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.5,1,0.555555555555556,0,0.6,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.363636363636364,0.5,0.666666666666667,0
אסטרונומיותינו,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.5,1,0.555555555555556,0,0.6,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.5,1,0.555555555555556,0
אסטרופיזיקאיהם,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.545454545454545,0.5,0.1,1,0.545454545454545,0.5,0.111111111111111,0,0.333333333333333,0,0.545454545454545,0.5,0.4,1,0.777777777777778,0
אסטרופיזיקאיהן,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.545454545454545,0.5,0.1,1,0.545454545454545,0.5,0.111111111111111,0,0.333333333333333,0,0.545454545454545,0.5,0.4,1,0.666666666666667,0
אסטרופיזיקאיות,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.545454545454545,0.5,0.1,1,0.545454545454545,0.5,0.111111111111111,0,0.333333333333333,0,0.545454545454545,0.5,0.555555555555556,0,0.8,1
אסטרופיזיקאייך,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.545454545454545,0.5,0.1,1,0.545454545454545,0.5,0.111111111111111,0,0.333333333333333,0,0.545454545454545,0.5,0.545454545454545,0.5,0.818181818181818,0.5
אסטרופיזיקאיכם,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.545454545454545,0.5,0.1,1,0.545454545454545,0.5,0.111111111111111,0,0.333333333333333,0,0.545454545454545,0.5,0.363636363636364,0.5,0.777777777777778,0
אסטרופיזיקאיכן,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.545454545454545,0.5,0.1,1,0.545454545454545,0.5,0.111111111111111,0,0.333333333333333,0,0.545454545454545,0.5,0.363636363636364,0.5,0.666666666666667,0
אסטרופיזיקאינו,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.545454545454545,0.5,0.1,1,0.545454545454545,0.5,0.111111111111111,0,0.333333333333333,0,0.545454545454545,0.5,0.5,1,0.555555555555556,0
אסטרופיזיקאיתה,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.545454545454545,0.5,0.1,1,0.545454545454545,0.5,0.111111111111111,0,0.333333333333333,0,0.545454545454545,0.5,0.8,1,0.4,1
אסטרופיזיקאיתו,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.545454545454545,0.5,0.1,1,0.545454545454545,0.5,0.111111111111111,0,0.333333333333333,0,0.545454545454545,0.5,0.8,1,0.555555555555556,0
אסטרופיזיקאיתי,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.545454545454545,0.5,0.1,1,0.545454545454545,0.5,0.111111111111111,0,0.333333333333333,0,0.545454545454545,0.5,0.8,1,0.545454545454545,0.5
אסטרופיזיקאיתך,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.545454545454545,0.5,0.1,1,0.545454545454545,0.5,0.111111111111111,0,0.333333333333333,0,0.545454545454545,0.5,0.8,1,0.818181818181818,0.5
אסטרופיזיקאיתם,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.545454545454545,0.5,0.1,1,0.545454545454545,0.5,0.111111111111111,0,0.333333333333333,0,0.545454545454545,0.5,0.8,1,0.777777777777778,0
אסטרופיזיקאיתן,0.333333333333333,0,0.2,1,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.545454545454545,0.5,0.1,1,0.545454545454545,0.5,0.111111111111111,0,0.333333333333333,0,0.545454545454545,0.5,0.8,1,0.666666666666667,0
אפוטרופוסיותיה,0.333333333333333,0,0.888888888888889,0,0.555555555555556,0,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.555555555555556,0,0.2,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.4,1
אפוטרופוסיותיו,0.333333333333333,0,0.888888888888889,0,0.555555555555556,0,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.555555555555556,0,0.2,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.555555555555556,0
אפוטרופוסיותיי,0.333333333333333,0,0.888888888888889,0,0.555555555555556,0,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.555555555555556,0,0.2,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.545454545454545,0.5
אפוטרופוסיותיך,0.333333333333333,0,0.888888888888889,0,0.555555555555556,0,0.444444444444444,0,0.222222222222222,0,0.555555555555556,0,0.888888888888889,0,0.555555555555556,0,0.2,1,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.818181818181818,0.5
אפידמיולוגיתכם,0.333333333333333,0,0.888888888888889,0,0.545454545454545,0.5,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.555555555555556,0,0.727272727272727,0.5,0.555555555555556,0,0.272727272727273,0.5,0.545454545454545,0.5,0.8,1,0.363636363636364,0.5,0.777777777777778,0
אפידמיולוגיתכן,0.333333333333333,0,0.888888888888889,0,0.545454545454545,0.5,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.555555555555556,0,0.727272727272727,0.5,0.555555555555556,0,0.272727272727273,0.5,0.545454545454545,0.5,0.8,1,0.363636363636364,0.5,0.666666666666667,0
אפידמיולוגיתנו,0.333333333333333,0,0.888888888888889,0,0.545454545454545,0.5,0.181818181818182,0.5,0.6,1,0.545454545454545,0.5,0.555555555555556,0,0.727272727272727,0.5,0.555555555555556,0,0.272727272727273,0.5,0.545454545454545,0.5,0.8,1,0.5,1,0.555555555555556,0
אפיפיורויותיהם,0.333333333333333,0,0.888888888888889,0,0.545454545454545,0.5,0.888888888888889,0,0.545454545454545,0.5,0.555555555555556,0,0.222222222222222,0,0.555555555555556,0,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.4,1,0.777777777777778,0
אפיפיורויותיהן,0.333333333333333,0,0.888888888888889,0,0.545454545454545,0.5,0.888888888888889,0,0.545454545454545,0.5,0.555555555555556,0,0.222222222222222,0,0.555555555555556,0,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.4,1,0.666666666666667,0
אפיפיורויותייך,0.333333333333333,0,0.888888888888889,0,0.545454545454545,0.5,0.888888888888889,0,0.545454545454545,0.5,0.555555555555556,0,0.222222222222222,0,0.555555555555556,0,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.545454545454545,0.5,0.818181818181818,0.5
אפיפיורויותיכם,0.333333333333333,0,0.888888888888889,0,0.545454545454545,0.5,0.888888888888889,0,0.545454545454545,0.5,0.555555555555556,0,0.222222222222222,0,0.555555555555556,0,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.363636363636364,0.5,0.777777777777778,0
אפיפיורויותיכן,0.333333333333333,0,0.888888888888889,0,0.545454545454545,0.5,0.888888888888889,0,0.545454545454545,0.5,0.555555555555556,0,0.222222222222222,0,0.555555555555556,0,0.545454545454545,0.5,0.555555555555556,0,0.8,1,0.545454545454545,0.5,0.363636363636364,0.5,0.666666666666667,0
