word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10
abner,0.1,0.5,0.625,1,0.75,1,0.272727272727273,0,0.363636363636364,0
abnet,0.1,0.5,0.625,1,0.75,1,0.272727272727273,0,0.454545454545455,0
abode,0.1,0.5,0.625,1,0.818181818181818,0,0.3,0.5,0.272727272727273,0
abody,0.1,0.5,0.625,1,0.818181818181818,0,0.3,0.5,0.545454545454545,0
abohm,0.1,0.5,0.625,1,0.818181818181818,0,0.6,0.5,0.875,1
aboil,0.1,0.5,0.625,1,0.818181818181818,0,0.727272727272727,0,0.9,0.5
aboma,0.1,0.5,0.625,1,0.818181818181818,0,0.875,1,0.1,0.5
aboon,0.1,0.5,0.625,1,0.818181818181818,0,0.818181818181818,0,0.75,1
abord,0.1,0.5,0.625,1,0.818181818181818,0,0.363636363636364,0,0.3,0.5
abort,0.1,0.5,0.625,1,0.818181818181818,0,0.363636363636364,0,0.454545454545455,0
abote,0.1,0.5,0.625,1,0.818181818181818,0,0.454545454545455,0,0.272727272727273,0
about,0.1,0.5,0.625,1,0.818181818181818,0,0.636363636363636,0,0.454545454545455,0
above,0.1,0.5,0.625,1,0.818181818181818,0,0.5,1,0.272727272727273,0
abray,0.1,0.5,0.625,1,0.363636363636364,0,0.1,0.5,0.545454545454545,0
abram,0.1,0.5,0.625,1,0.363636363636364,0,0.1,0.5,0.875,1
abret,0.1,0.5,0.625,1,0.363636363636364,0,0.272727272727273,0,0.454545454545455,0
abrim,0.1,0.5,0.625,1,0.363636363636364,0,0.727272727272727,0,0.875,1
abrin,0.1,0.5,0.625,1,0.363636363636364,0,0.727272727272727,0,0.75,1
abris,0.1,0.5,0.625,1,0.363636363636364,0,0.727272727272727,0,0.2,0.5
abrus,0.1,0.5,0.625,1,0.363636363636364,0,0.636363636363636,0,0.2,0.5
absee,0.1,0.5,0.625,1,0.2,0.5,0.272727272727273,0,0.272727272727273,0
absey,0.1,0.5,0.625,1,0.2,0.5,0.272727272727273,0,0.545454545454545,0
absis,0.1,0.5,0.625,1,0.2,0.5,0.727272727272727,0,0.2,0.5
absit,0.1,0.5,0.625,1,0.2,0.5,0.727272727272727,0,0.454545454545455,0
abstr,0.1,0.5,0.625,1,0.2,0.5,0.454545454545455,0,0.363636363636364,0
abuna,0.1,0.5,0.625,1,0.636363636363636,0,0.75,1,0.1,0.5
