word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6
biz,0.625,1,0.727272727272727,0,0.125,1
bkg,0.625,1,0.8,0.5,0.5,0.5
bks,0.625,1,0.8,0.5,0.2,0.5
bkt,0.625,1,0.8,0.5,0.454545454545455,0
bld,0.625,1,0.9,0.5,0.3,0.5
blk,0.625,1,0.9,0.5,0.8,0.5
blo,0.625,1,0.9,0.5,0.818181818181818,0
bls,0.625,1,0.9,0.5,0.2,0.5
bnf,0.625,1,0.75,1,0.4,0.5
boa,0.625,1,0.818181818181818,0,0.1,0.5
bob,0.625,1,0.818181818181818,0,0.625,1
boc,0.625,1,0.818181818181818,0,0.375,1
bod,0.625,1,0.818181818181818,0,0.3,0.5
boe,0.625,1,0.818181818181818,0,0.272727272727273,0
bog,0.625,1,0.818181818181818,0,0.5,0.5
boh,0.625,1,0.818181818181818,0,0.6,0.5
boy,0.625,1,0.818181818181818,0,0.545454545454545,0
bol,0.625,1,0.818181818181818,0,0.9,0.5
bom,0.625,1,0.818181818181818,0,0.875,1
bon,0.625,1,0.818181818181818,0,0.75,1
boo,0.625,1,0.818181818181818,0,0.818181818181818,0
bop,0.625,1,0.818181818181818,0,0.909090909090909,0
bor,0.625,1,0.818181818181818,0,0.363636363636364,0
bos,0.625,1,0.818181818181818,0,0.2,0.5
bot,0.625,1,0.818181818181818,0,0.454545454545455,0
bow,0.625,1,0.818181818181818,0,0.181818181818182,0
box,0.625,1,0.818181818181818,0,0.25,1
bpi,0.625,1,0.909090909090909,0,0.727272727272727,0
bps,0.625,1,0.909090909090909,0,0.2,0.5
bpt,0.625,1,0.909090909090909,0,0.454545454545455,0
bra,0.625,1,0.363636363636364,0,0.1,0.5
brl,0.625,1,0.363636363636364,0,0.9,0.5
bro,0.625,1,0.363636363636364,0,0.818181818181818,0
brr,0.625,1,0.363636363636364,0,0.363636363636364,0
bsf,0.625,1,0.2,0.5,0.4,0.5
bsh,0.625,1,0.2,0.5,0.6,0.5
btl,0.625,1,0.454545454545455,0,0.9,0.5
btu,0.625,1,0.454545454545455,0,0.636363636363636,0
bub,0.625,1,0.636363636363636,0,0.625,1
bud,0.625,1,0.636363636363636,0,0.3,0.5
bug,0.625,1,0.636363636363636,0,0.5,0.5
buy,0.625,1,0.636363636363636,0,0.545454545454545,0
bul,0.625,1,0.636363636363636,0,0.9,0.5
bum,0.625,1,0.636363636363636,0,0.875,1
bun,0.625,1,0.636363636363636,0,0.75,1
bur,0.625,1,0.636363636363636,0,0.363636363636364,0
bus,0.625,1,0.636363636363636,0,0.2,0.5
but,0.625,1,0.636363636363636,0,0.454545454545455,0
buz,0.625,1,0.636363636363636,0,0.125,1
bvt,0.625,1,0.5,1,0.454545454545455,0
bxs,0.625,1,0.25,1,0.2,0.5
cab,0.375,1,0.1,0.5,0.625,1
cad,0.375,1,0.1,0.5,0.3,0.5
caf,0.375,1,0.1,0.5,0.4,0.5
cag,0.375,1,0.1,0.5,0.5,0.5
cai,0.375,1,0.1,0.5,0.727272727272727,0
cay,0.375,1,0.1,0.5,0.545454545454545,0
cal,0.375,1,0.1,0.5,0.9,0.5
cam,0.375,1,0.1,0.5,0.875,1
can,0.375,1,0.1,0.5,0.75,1
cap,0.375,1,0.1,0.5,0.909090909090909,0
car,0.375,1,0.1,0.5,0.363636363636364,0
cat,0.375,1,0.1,0.5,0.454545454545455,0
cav,0.375,1,0.1,0.5,0.5,1
caw,0.375,1,0.1,0.5,0.181818181818182,0
ccm,0.375,1,0.375,1,0.875,1
ccw,0.375,1,0.375,1,0.181818181818182,0
cdf,0.375,1,0.3,0.5,0.4,0.5
cdg,0.375,1,0.3,0.5,0.5,0.5
cdr,0.375,1,0.3,0.5,0.363636363636364,0
cee,0.375,1,0.272727272727273,0,0.272727272727273,0
cen,0.375,1,0.272727272727273,0,0.75,1
cep,0.375,1,0.272727272727273,0,0.909090909090909,0
cfd,0.375,1,0.4,0.5,0.3,0.5
cfh,0.375,1,0.4,0.5,0.6,0.5
cfi,0.375,1,0.4,0.5,0.727272727272727,0
cfm,0.375,1,0.4,0.5,0.875,1
cfs,0.375,1,0.4,0.5,0.2,0.5
cgm,0.375,1,0.5,0.5,0.875,1
cgs,0.375,1,0.5,0.5,0.2,0.5
cha,0.375,1,0.6,0.5,0.1,0.5
che,0.375,1,0.6,0.5,0.272727272727273,0
chg,0.375,1,0.6,0.5,0.5,0.5
chi,0.375,1,0.6,0.5,0.727272727272727,0
chm,0.375,1,0.6,0.5,0.875,1
chn,0.375,1,0.6,0.5,0.75,1
cho,0.375,1,0.6,0.5,0.818181818181818,0
chs,0.375,1,0.6,0.5,0.2,0.5
cia,0.375,1,0.727272727272727,0,0.1,0.5
cyc,0.375,1,0.545454545454545,0,0.375,1
cid,0.375,1,0.727272727272727,0,0.3,0.5
cie,0.375,1,0.727272727272727,0,0.272727272727273,0
cif,0.375,1,0.727272727272727,0,0.4,0.5
cig,0.375,1,0.727272727272727,0,0.5,0.5
cyl,0.375,1,0.545454545454545,0,0.9,0.5
cyp,0.375,1,0.545454545454545,0,0.909090909090909,0
cir,0.375,1,0.727272727272727,0,0.363636363636364,0
cis,0.375,1,0.727272727272727,0,0.2,0.5
cit,0.375,1,0.727272727272727,0,0.454545454545455,0
civ,0.375,1,0.727272727272727,0,0.5,1
ckw,0.375,1,0.8,0.5,0.181818181818182,0
cli,0.375,1,0.9,0.5,0.727272727272727,0
cly,0.375,1,0.9,0.5,0.545454545454545,0
clk,0.375,1,0.9,0.5,0.8,0.5
clo,0.375,1,0.9,0.5,0.818181818181818,0
clr,0.375,1,0.9,0.5,0.363636363636364,0
cmd,0.375,1,0.875,1,0.3,0.5
cml,0.375,1,0.875,1,0.9,0.5
cob,0.375,1,0.818181818181818,0,0.625,1
cod,0.375,1,0.818181818181818,0,0.3,0.5
coe,0.375,1,0.818181818181818,0,0.272727272727273,0
cog,0.375,1,0.818181818181818,0,0.5,0.5
coy,0.375,1,0.818181818181818,0,0.545454545454545,0
col,0.375,1,0.818181818181818,0,0.9,0.5
com,0.375,1,0.818181818181818,0,0.875,1
con,0.375,1,0.818181818181818,0,0.75,1
coo,0.375,1,0.818181818181818,0,0.818181818181818,0
cop,0.375,1,0.818181818181818,0,0.909090909090909,0
cor,0.375,1,0.818181818181818,0,0.363636363636364,0
cos,0.375,1,0.818181818181818,0,0.2,0.5
cot,0.375,1,0.818181818181818,0,0.454545454545455,0
cow,0.375,1,0.818181818181818,0,0.181818181818182,0
cox,0.375,1,0.818181818181818,0,0.25,1
coz,0.375,1,0.818181818181818,0,0.125,1
cpd,0.375,1,0.909090909090909,0,0.3,0.5
cpi,0.375,1,0.909090909090909,0,0.727272727272727,0
cpl,0.375,1,0.909090909090909,0,0.9,0.5
cpm,0.375,1,0.909090909090909,0,0.875,1
cpo,0.375,1,0.909090909090909,0,0.818181818181818,0
cps,0.375,1,0.909090909090909,0,0.2,0.5
cpt,0.375,1,0.909090909090909,0,0.454545454545455,0
cpu,0.375,1,0.909090909090909,0,0.636363636363636,0
crc,0.375,1,0.363636363636364,0,0.375,1
cre,0.375,1,0.363636363636364,0,0.272727272727273,0
cry,0.375,1,0.363636363636364,0,0.545454545454545,0
crl,0.375,1,0.363636363636364,0,0.9,0.5
cro,0.375,1,0.363636363636364,0,0.818181818181818,0
crs,0.375,1,0.363636363636364,0,0.2,0.5
cru,0.375,1,0.363636363636364,0,0.636363636363636,0
csc,0.375,1,0.2,0.5,0.375,1
csi,0.375,1,0.2,0.5,0.727272727272727,0
csk,0.375,1,0.2,0.5,0.8,0.5
csp,0.375,1,0.2,0.5,0.909090909090909,0
cst,0.375,1,0.2,0.5,0.454545454545455,0
csw,0.375,1,0.2,0.5,0.181818181818182,0
cte,0.375,1,0.454545454545455,0,0.272727272727273,0
ctf,0.375,1,0.454545454545455,0,0.4,0.5
ctg,0.375,1,0.454545454545455,0,0.5,0.5
ctn,0.375,1,0.454545454545455,0,0.75,1
cto,0.375,1,0.454545454545455,0,0.818181818181818,0
ctr,0.375,1,0.454545454545455,0,0.363636363636364,0
cts,0.375,1,0.454545454545455,0,0.2,0.5
cub,0.375,1,0.636363636363636,0,0.625,1
cud,0.375,1,0.636363636363636,0,0.3,0.5
cue,0.375,1,0.636363636363636,0,0.272727272727273,0
cuj,0.375,1,0.636363636363636,0,0.7,0.5
cul,0.375,1,0.636363636363636,0,0.9,0.5
cum,0.375,1,0.636363636363636,0,0.875,1
cun,0.375,1,0.636363636363636,0,0.75,1
cup,0.375,1,0.636363636363636,0,0.909090909090909,0
cur,0.375,1,0.636363636363636,0,0.363636363636364,0
cut,0.375,1,0.636363636363636,0,0.454545454545455,0
cwm,0.375,1,0.181818181818182,0,0.875,1
cwo,0.375,1,0.181818181818182,0,0.818181818181818,0
cwt,0.375,1,0.181818181818182,0,0.454545454545455,0
dab,0.3,0.5,0.1,0.5,0.625,1
dad,0.3,0.5,0.1,0.5,0.3,0.5
dae,0.3,0.5,0.1,0.5,0.272727272727273,0
dag,0.3,0.5,0.1,0.5,0.5,0.5
dah,0.3,0.5,0.1,0.5,0.6,0.5
day,0.3,0.5,0.1,0.5,0.545454545454545,0
dak,0.3,0.5,0.1,0.5,0.8,0.5
dal,0.3,0.5,0.1,0.5,0.9,0.5
dam,0.3,0.5,0.1,0.5,0.875,1
dan,0.3,0.5,0.1,0.5,0.75,1
dao,0.3,0.5,0.1,0.5,0.818181818181818,0
dap,0.3,0.5,0.1,0.5,0.909090909090909,0
dar,0.3,0.5,0.1,0.5,0.363636363636364,0
das,0.3,0.5,0.1,0.5,0.2,0.5
dat,0.3,0.5,0.1,0.5,0.454545454545455,0
dau,0.3,0.5,0.1,0.5,0.636363636363636,0
daw,0.3,0.5,0.1,0.5,0.181818181818182,0
dbl,0.3,0.5,0.625,1,0.9,0.5
dca,0.3,0.5,0.375,1,0.1,0.5
dcb,0.3,0.5,0.375,1,0.625,1
ddt,0.3,0.5,0.3,0.5,0.454545454545455,0
dea,0.3,0.5,0.272727272727273,0,0.1,0.5
deb,0.3,0.5,0.272727272727273,0,0.625,1
dec,0.3,0.5,0.272727272727273,0,0.375,1
dee,0.3,0.5,0.272727272727273,0,0.272727272727273,0
def,0.3,0.5,0.272727272727273,0,0.4,0.5
deg,0.3,0.5,0.272727272727273,0,0.5,0.5
dei,0.3,0.5,0.272727272727273,0,0.727272727272727,0
dey,0.3,0.5,0.272727272727273,0,0.545454545454545,0
del,0.3,0.5,0.272727272727273,0,0.9,0.5
dem,0.3,0.5,0.272727272727273,0,0.875,1
den,0.3,0.5,0.272727272727273,0,0.75,1
dep,0.3,0.5,0.272727272727273,0,0.909090909090909,0
der,0.3,0.5,0.272727272727273,0,0.363636363636364,0
des,0.3,0.5,0.272727272727273,0,0.2,0.5
det,0.3,0.5,0.272727272727273,0,0.454545454545455,0
dev,0.3,0.5,0.272727272727273,0,0.5,1
dew,0.3,0.5,0.272727272727273,0,0.181818181818182,0
dex,0.3,0.5,0.272727272727273,0,0.25,1
dft,0.3,0.5,0.4,0.5,0.454545454545455,0
dha,0.3,0.5,0.6,0.5,0.1,0.5
dhu,0.3,0.5,0.6,0.5,0.636363636363636,0
dia,0.3,0.5,0.727272727272727,0,0.1,0.5
dib,0.3,0.5,0.727272727272727,0,0.625,1
did,0.3,0.5,0.727272727272727,0,0.3,0.5
die,0.3,0.5,0.727272727272727,0,0.272727272727273,0
dye,0.3,0.5,0.545454545454545,0,0.272727272727273,0
dif,0.3,0.5,0.727272727272727,0,0.4,0.5
dig,0.3,0.5,0.727272727272727,0,0.5,0.5
dil,0.3,0.5,0.727272727272727,0,0.9,0.5
dim,0.3,0.5,0.727272727272727,0,0.875,1
din,0.3,0.5,0.727272727272727,0,0.75,1
dyn,0.3,0.5,0.545454545454545,0,0.75,1
dip,0.3,0.5,0.727272727272727,0,0.909090909090909,0
dir,0.3,0.5,0.727272727272727,0,0.363636363636364,0
dis,0.3,0.5,0.727272727272727,0,0.2,0.5
dys,0.3,0.5,0.545454545454545,0,0.2,0.5
dit,0.3,0.5,0.727272727272727,0,0.454545454545455,0
div,0.3,0.5,0.727272727272727,0,0.5,1
dix,0.3,0.5,0.727272727272727,0,0.25,1
dkg,0.3,0.5,0.8,0.5,0.5,0.5
dkl,0.3,0.5,0.8,0.5,0.9,0.5
dkm,0.3,0.5,0.8,0.5,0.875,1
dks,0.3,0.5,0.8,0.5,0.2,0.5
dlr,0.3,0.5,0.9,0.5,0.363636363636364,0
doa,0.3,0.5,0.818181818181818,0,0.1,0.5
dob,0.3,0.5,0.818181818181818,0,0.625,1
doc,0.3,0.5,0.818181818181818,0,0.375,1
dod,0.3,0.5,0.818181818181818,0,0.3,0.5
doe,0.3,0.5,0.818181818181818,0,0.272727272727273,0
dog,0.3,0.5,0.818181818181818,0,0.5,0.5
doh,0.3,0.5,0.818181818181818,0,0.6,0.5
dol,0.3,0.5,0.818181818181818,0,0.9,0.5
dom,0.3,0.5,0.818181818181818,0,0.875,1
don,0.3,0.5,0.818181818181818,0,0.75,1
doo,0.3,0.5,0.818181818181818,0,0.818181818181818,0
dop,0.3,0.5,0.818181818181818,0,0.909090909090909,0
dor,0.3,0.5,0.818181818181818,0,0.363636363636364,0
dos,0.3,0.5,0.818181818181818,0,0.2,0.5
dot,0.3,0.5,0.818181818181818,0,0.454545454545455,0
dow,0.3,0.5,0.818181818181818,0,0.181818181818182,0
doz,0.3,0.5,0.818181818181818,0,0.125,1
dpt,0.3,0.5,0.909090909090909,0,0.454545454545455,0
dry,0.3,0.5,0.363636363636364,0,0.545454545454545,0
dsp,0.3,0.5,0.2,0.5,0.909090909090909,0
dsr,0.3,0.5,0.2,0.5,0.363636363636364,0
dtd,0.3,0.5,0.454545454545455,0,0.3,0.5
dub,0.3,0.5,0.636363636363636,0,0.625,1
duc,0.3,0.5,0.636363636363636,0,0.375,1
dud,0.3,0.5,0.636363636363636,0,0.3,0.5
due,0.3,0.5,0.636363636363636,0,0.272727272727273,0
dug,0.3,0.5,0.636363636363636,0,0.5,0.5
dui,0.3,0.5,0.636363636363636,0,0.727272727272727,0
dum,0.3,0.5,0.636363636363636,0,0.875,1
dun,0.3,0.5,0.636363636363636,0,0.75,1
duo,0.3,0.5,0.636363636363636,0,0.818181818181818,0
dup,0.3,0.5,0.636363636363636,0,0.909090909090909,0
dur,0.3,0.5,0.636363636363636,0,0.363636363636364,0
dux,0.3,0.5,0.636363636363636,0,0.25,1
dwt,0.3,0.5,0.181818181818182,0,0.454545454545455,0
dzo,0.3,0.5,0.125,1,0.818181818181818,0
ead,0.272727272727273,0,0.1,0.5,0.3,0.5
eam,0.272727272727273,0,0.1,0.5,0.875,1
ean,0.272727272727273,0,0.1,0.5,0.75,1
ear,0.272727272727273,0,0.1,0.5,0.363636363636364,0
eat,0.272727272727273,0,0.1,0.5,0.454545454545455,0
eau,0.272727272727273,0,0.1,0.5,0.636363636363636,0
ebb,0.272727272727273,0,0.625,1,0.625,1
ecb,0.272727272727273,0,0.375,1,0.625,1
eco,0.272727272727273,0,0.375,1,0.818181818181818,0
ecu,0.272727272727273,0,0.375,1,0.636363636363636,0
edh,0.272727272727273,0,0.3,0.5,0.6,0.5
edo,0.272727272727273,0,0.3,0.5,0.818181818181818,0
edp,0.272727272727273,0,0.3,0.5,0.909090909090909,0
eds,0.272727272727273,0,0.3,0.5,0.2,0.5
eel,0.272727272727273,0,0.272727272727273,0,0.9,0.5
een,0.272727272727273,0,0.272727272727273,0,0.75,1
eer,0.272727272727273,0,0.272727272727273,0,0.363636363636364,0
eff,0.272727272727273,0,0.4,0.5,0.4,0.5
efl,0.272727272727273,0,0.4,0.5,0.9,0.5
efs,0.272727272727273,0,0.4,0.5,0.2,0.5
