word,mat_1,mat_2,mat_3,mat_4
sk,0.2,0.5,0.8,0.5
sl,0.2,0.5,0.9,0.5
sm,0.2,0.5,0.875,1
sn,0.2,0.5,0.75,1
so,0.2,0.5,0.818181818181818,0
sp,0.2,0.5,0.909090909090909,0
sq,0.2,0.5,0.0909090909090909,0
sr,0.2,0.5,0.363636363636364,0
ss,0.2,0.5,0.2,0.5
st,0.2,0.5,0.454545454545455,0
su,0.2,0.5,0.636363636363636,0
sv,0.2,0.5,0.5,1
sw,0.2,0.5,0.181818181818182,0
ta,0.454545454545455,0,0.1,0.5
tb,0.454545454545455,0,0.625,1
tc,0.454545454545455,0,0.375,1
td,0.454545454545455,0,0.3,0.5
te,0.454545454545455,0,0.272727272727273,0
tg,0.454545454545455,0,0.5,0.5
th,0.454545454545455,0,0.6,0.5
ti,0.454545454545455,0,0.727272727272727,0
tk,0.454545454545455,0,0.8,0.5
tm,0.454545454545455,0,0.875,1
tn,0.454545454545455,0,0.75,1
to,0.454545454545455,0,0.818181818181818,0
tp,0.454545454545455,0,0.909090909090909,0
tr,0.454545454545455,0,0.363636363636364,0
ts,0.454545454545455,0,0.2,0.5
tu,0.454545454545455,0,0.636363636363636,0
tv,0.454545454545455,0,0.5,1
tx,0.454545454545455,0,0.25,1
uc,0.636363636363636,0,0.375,1
ud,0.636363636363636,0,0.3,0.5
ug,0.636363636363636,0,0.5,0.5
uh,0.636363636363636,0,0.6,0.5
ui,0.636363636363636,0,0.727272727272727,0
um,0.636363636363636,0,0.875,1
un,0.636363636363636,0,0.75,1
up,0.636363636363636,0,0.909090909090909,0
ur,0.636363636363636,0,0.363636363636364,0
us,0.636363636363636,0,0.2,0.5
ut,0.636363636363636,0,0.454545454545455,0
ux,0.636363636363636,0,0.25,1
va,0.5,1,0.1,0.5
vb,0.5,1,0.625,1
vc,0.5,1,0.375,1
vd,0.5,1,0.3,0.5
vg,0.5,1,0.5,0.5
vi,0.5,1,0.727272727272727,0
vl,0.5,1,0.9,0.5
vo,0.5,1,0.818181818181818,0
vp,0.5,1,0.909090909090909,0
vr,0.5,1,0.363636363636364,0
vs,0.5,1,0.2,0.5
vt,0.5,1,0.454545454545455,0
vu,0.5,1,0.636363636363636,0
vv,0.5,1,0.5,1
wa,0.181818181818182,0,0.1,0.5
wb,0.181818181818182,0,0.625,1
wc,0.181818181818182,0,0.375,1
wd,0.181818181818182,0,0.3,0.5
we,0.181818181818182,0,0.272727272727273,0
wf,0.181818181818182,0,0.4,0.5
wg,0.181818181818182,0,0.5,0.5
wh,0.181818181818182,0,0.6,0.5
wi,0.181818181818182,0,0.727272727272727,0
wy,0.181818181818182,0,0.545454545454545,0
wk,0.181818181818182,0,0.8,0.5
wl,0.181818181818182,0,0.9,0.5
wm,0.181818181818182,0,0.875,1
wo,0.181818181818182,0,0.818181818181818,0
wr,0.181818181818182,0,0.363636363636364,0
ws,0.181818181818182,0,0.2,0.5
wt,0.181818181818182,0,0.454545454545455,0
wu,0.181818181818182,0,0.636363636363636,0
xc,0.25,1,0.375,1
xd,0.25,1,0.3,0.5
xi,0.25,1,0.727272727272727,0
xr,0.25,1,0.363636363636364,0
xs,0.25,1,0.2,0.5
xu,0.25,1,0.636363636363636,0
xw,0.25,1,0.181818181818182,0
xx,0.25,1,0.25,1
za,0.125,1,0.1,0.5
zn,0.125,1,0.75,1
zo,0.125,1,0.818181818181818,0
zs,0.125,1,0.2,0.5
