word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12
ablend,0.1,0.5,0.625,1,0.9,0.5,0.272727272727273,0,0.75,1,0.3,0.5
ablest,0.1,0.5,0.625,1,0.9,0.5,0.272727272727273,0,0.2,0.5,0.454545454545455,0
ablins,0.1,0.5,0.625,1,0.9,0.5,0.727272727272727,0,0.75,1,0.2,0.5
ablock,0.1,0.5,0.625,1,0.9,0.5,0.818181818181818,0,0.375,1,0.8,0.5
abloom,0.1,0.5,0.625,1,0.9,0.5,0.818181818181818,0,0.818181818181818,0,0.875,1
ablude,0.1,0.5,0.625,1,0.9,0.5,0.636363636363636,0,0.3,0.5,0.272727272727273,0
ablush,0.1,0.5,0.625,1,0.9,0.5,0.636363636363636,0,0.2,0.5,0.6,0.5
ablute,0.1,0.5,0.625,1,0.9,0.5,0.636363636363636,0,0.454545454545455,0,0.272727272727273,0
abmhos,0.1,0.5,0.625,1,0.875,1,0.6,0.5,0.818181818181818,0,0.2,0.5
abnaki,0.1,0.5,0.625,1,0.75,1,0.1,0.5,0.8,0.5,0.727272727272727,0
aboard,0.1,0.5,0.625,1,0.818181818181818,0,0.1,0.5,0.363636363636364,0,0.3,0.5
abobra,0.1,0.5,0.625,1,0.818181818181818,0,0.625,1,0.363636363636364,0,0.1,0.5
abodah,0.1,0.5,0.625,1,0.818181818181818,0,0.3,0.5,0.1,0.5,0.6,0.5
aboded,0.1,0.5,0.625,1,0.818181818181818,0,0.3,0.5,0.272727272727273,0,0.3,0.5
abodes,0.1,0.5,0.625,1,0.818181818181818,0,0.3,0.5,0.272727272727273,0,0.2,0.5
abohms,0.1,0.5,0.625,1,0.818181818181818,0,0.6,0.5,0.875,1,0.2,0.5
abolla,0.1,0.5,0.625,1,0.818181818181818,0,0.9,0.5,0.9,0.5,0.1,0.5
abomas,0.1,0.5,0.625,1,0.818181818181818,0,0.875,1,0.1,0.5,0.2,0.5
abongo,0.1,0.5,0.625,1,0.818181818181818,0,0.75,1,0.5,0.5,0.818181818181818,0
