word,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8
aide,0.1,0.5,0.727272727272727,0,0.3,0.5,0.272727272727273,0
aids,0.1,0.5,0.727272727272727,0,0.3,0.5,0.2,0.5
aiel,0.1,0.5,0.727272727272727,0,0.272727272727273,0,0.9,0.5
ayen,0.1,0.5,0.545454545454545,0,0.272727272727273,0,0.75,1
ayes,0.1,0.5,0.545454545454545,0,0.272727272727273,0,0.2,0.5
ayin,0.1,0.5,0.545454545454545,0,0.727272727272727,0,0.75,1
aile,0.1,0.5,0.727272727272727,0,0.9,0.5,0.272727272727273,0
ails,0.1,0.5,0.727272727272727,0,0.9,0.5,0.2,0.5
ayme,0.1,0.5,0.545454545454545,0,0.875,1,0.272727272727273,0
aims,0.1,0.5,0.727272727272727,0,0.875,1,0.2,0.5
aine,0.1,0.5,0.727272727272727,0,0.75,1,0.272727272727273,0
ayne,0.1,0.5,0.545454545454545,0,0.75,1,0.272727272727273,0
ains,0.1,0.5,0.727272727272727,0,0.75,1,0.2,0.5
aint,0.1,0.5,0.727272727272727,0,0.75,1,0.454545454545455,0
ainu,0.1,0.5,0.727272727272727,0,0.75,1,0.636363636363636,0
aion,0.1,0.5,0.727272727272727,0,0.818181818181818,0,0.75,1
aira,0.1,0.5,0.727272727272727,0,0.363636363636364,0,0.1,0.5
aire,0.1,0.5,0.727272727272727,0,0.363636363636364,0,0.272727272727273,0
ayre,0.1,0.5,0.545454545454545,0,0.363636363636364,0,0.272727272727273,0
airy,0.1,0.5,0.727272727272727,0,0.363636363636364,0,0.545454545454545,0
airn,0.1,0.5,0.727272727272727,0,0.363636363636364,0,0.75,1
airs,0.1,0.5,0.727272727272727,0,0.363636363636364,0,0.2,0.5
airt,0.1,0.5,0.727272727272727,0,0.363636363636364,0,0.454545454545455,0
aith,0.1,0.5,0.727272727272727,0,0.454545454545455,0,0.6,0.5
aits,0.1,0.5,0.727272727272727,0,0.454545454545455,0,0.2,0.5
aivr,0.1,0.5,0.727272727272727,0,0.5,1,0.363636363636364,0
ajar,0.1,0.5,0.7,0.5,0.1,0.5,0.363636363636364,0
ajax,0.1,0.5,0.7,0.5,0.1,0.5,0.25,1
ajee,0.1,0.5,0.7,0.5,0.272727272727273,0,0.272727272727273,0
