word,mat_1,mat_2,mat_3,mat_4
"דת",0.181818181818182,1,0.8,2
"ה""א",0.4,2,0.333333333333333,0
"הא",0.4,2,0.333333333333333,0
"הב",0.4,2,0.3,2
"הד",0.4,2,0.181818181818182,1
"הך",0.4,2,0.818181818181818,1
"הל",0.4,2,0.727272727272727,1
"הם",0.4,2,0.777777777777778,0
"הן",0.4,2,0.666666666666667,0
"הס",0.4,2,0.2,2
"הר",0.4,2,0.222222222222222,0
"וו",0.555555555555556,0,0.555555555555556,0
"וי",0.555555555555556,0,0.545454545454545,1
"ז""ל",0.1,2,0.727272727272727,1
"זב",0.1,2,0.3,2
"זג",0.1,2,0.272727272727273,1
"זד",0.1,2,0.181818181818182,1
"זה",0.1,2,0.4,2
"זו",0.1,2,0.555555555555556,0
"זז",0.1,2,0.1,2
"זי",0.1,2,0.545454545454545,1
"זך",0.1,2,0.818181818181818,1
"זן",0.1,2,0.666666666666667,0
"זע",0.1,2,0.454545454545455,1
"זר",0.1,2,0.222222222222222,0
"ח""כ",0.636363636363636,1,0.363636363636364,1
"ח""מ",0.636363636363636,1,0.6,2
"ח""ן",0.636363636363636,1,0.666666666666667,0
"חב",0.636363636363636,1,0.3,2
"חג",0.636363636363636,1,0.272727272727273,1
"חג'",0.636363636363636,1,0.272727272727273,1
"חד",0.636363636363636,1,0.181818181818182,1
"חט",0.636363636363636,1,0.444444444444444,0
"חי",0.636363636363636,1,0.545454545454545,1
"חך",0.636363636363636,1,0.818181818181818,1
"חל",0.636363636363636,1,0.727272727272727,1
"חם",0.636363636363636,1,0.777777777777778,0
"חן",0.636363636363636,1,0.666666666666667,0
"חס",0.636363636363636,1,0.2,2
"חף",0.636363636363636,1,0.909090909090909,1
"חץ",0.636363636363636,1,0.9,2
"חש",0.636363636363636,1,0.0909090909090909,1
"חת",0.636363636363636,1,0.8,2
"טח",0.444444444444444,0,0.636363636363636,1
"טי",0.444444444444444,0,0.545454545454545,1
"טל",0.444444444444444,0,0.727272727272727,1
"טס",0.444444444444444,0,0.2,2
"טע",0.444444444444444,0,0.454545454545455,1
"טף",0.444444444444444,0,0.909090909090909,1
"יד",0.545454545454545,1,0.181818181818182,1
"יו",0.545454545454545,1,0.555555555555556,0
"יח'",0.545454545454545,1,0.636363636363636,1
"ים",0.545454545454545,1,0.777777777777778,0
"ין",0.545454545454545,1,0.666666666666667,0
"יש",0.545454545454545,1,0.0909090909090909,1
"כ""כ",0.363636363636364,1,0.363636363636364,1
"כ""ס",0.363636363636364,1,0.2,2
"כ""ף",0.363636363636364,1,0.909090909090909,1
"כ""ץ",0.363636363636364,1,0.9,2
"כד",0.363636363636364,1,0.181818181818182,1
"כה",0.363636363636364,1,0.4,2
"כי",0.363636363636364,1,0.545454545454545,1
